,isin,bbticker,script_name,start_date,end_date
626,INE786A01032,JKLC IN Equity,JKLAKSHMI,1900-01-01,9999-12-31
627,INE763A01023,POL/F IN Equity,POL/F,1900-01-01,2024-08-01
628,INE511C01022,POONAWAL IN Equity,POONAWALLA,1900-01-01,9999-12-31
629,INE342J01019,ZCVCS IN Equity,ZFCVINDIA,1900-01-01,9999-12-31
630,INE716A01013,WHIRL IN Equity,WHIRLPOOL,1900-01-01,9999-12-31
631,INE904G01038,RPRO IN Equity,RPRO,1900-01-01,2024-08-01
632,INE952H01027,RAJT IN Equity,RAJTV,1900-01-01,9999-12-31
633,INE668F01031,JYL IN Equity,JYOTHYLAB,1900-01-01,9999-12-31
634,INE599M01018,JUST IN Equity,JUSTDIAL,1900-01-01,9999-12-31
635,INE095N01031,NBCC IN Equity,NBCC,1900-01-01,9999-12-31
636,INE752H01013,CARE IN Equity,CARERATING,1900-01-01,9999-12-31
637,INE933K01021,BAJAJCON IN Equity,BAJAJCON,1900-01-01,9999-12-31
